Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log Sales,Log Total assets
Saksoft Ltd.,2020,2.64,0.16,0.21,1.05,0.18,10.37,0.84,14.89,19.96,2.63,12.61,15.74,24.76,11.62,8.38,0,7.135687347028144,7.440792391113347
Saksoft Ltd.,2021,2.64,0.16,0.21,1.05,0.18,10.37,0.84,14.89,19.96,2.63,12.61,15.74,24.76,11.62,8.38,0,7.135687347028144,7.440792391113347
Satyam Computer Services Ltd. [Merged],2000,2.83,0.15,0.21,2.1,0.19,16.73,1.5,34.53,35.75,2.83,59.96,83.84,37.74,51.86,80.19,0,9.40917483714435,9.358044603748443
Satyam Computer Services Ltd. [Merged],2001,7.02,0.0,0.0,1.26,0.27,105.69,1.19,27.27,26.61,7.02,33.6,35.78,34.7,29.01,41.96,0,9.759582539484045,10.009930981631484
Satyam Computer Services Ltd. [Merged],2002,6.13,0.01,0.01,1.0,0.19,451.28999999999996,0.99,14.62,17.94,6.13,14.84,14.93,30.98,12.64,16.84,0,9.915243183546982,10.157579231793958
Satyam Computer Services Ltd. [Merged],2003,7.75,0.0,0.0,1.08,0.14,796.8899999999999,1.07,20.85,24.98,7.75,23.34,23.46,27.96,19.73,25.59,0,10.143110568494116,10.319048195476304
Satyam Computer Services Ltd. [Merged],2004,7.78,0.0,0.0,1.19,0.17,1142.49,1.19,21.05,24.31,7.78,25.82,25.9,26.21,22.03,36.3,0,10.452827871052282,10.541877551635777
Satyam Computer Services Ltd. [Merged],2005,6.69,0.0,0.0,1.23,0.15,532.85,1.22,24.74,28.83,6.69,32.75,32.85,26.02,27.65,33.78,0,10.743827692598247,10.856019563454565
Satyam Computer Services Ltd. [Merged],2006,6.76,0.0,0.0,1.23,0.15,207.84,1.23,22.22,24.54,6.76,28.06,28.13,24.87,23.45,34.4,0,11.039471088739596,11.150830143003102
Satyam Computer Services Ltd. [Merged],2007,5.87,0.0,0.0,1.24,0.16,145.15,1.23,20.41,23.07,5.87,26.05,26.13,22.87,21.56,30.65,0,11.306798801635873,11.404214899712727
Satyam Computer Services Ltd. [Merged],2008,0.74,0.15,0.01,2.47,0.1,82.46000000000001,2.25,-19.52,-90.04,0.74,-44.87,-49.23,7.91,-25.45,3.63,0,11.342433659929851,10.657894447316275
Satyam Computer Services Ltd. [Merged],2009,1.55,0.01,0.02,5.76,0.03,19.77,4.16,2.35,-1.04,1.55,10.14,14.04,10.15,2.46,-39.43,0,10.841069998544572,10.979683801919906
Satyam Computer Services Ltd. [Merged],2010,1.29,0.0,0.01,2.14,-0.03,742.27,2.11,9.11,-1.43,1.26,20.53,20.87,9.12,7.62,-6.4,0,10.774948268492489,11.056477540586986
Satyam Computer Services Ltd. [Merged],2011,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2012,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2013,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2014,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2015,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2016,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2017,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2018,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2019,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2020,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Satyam Computer Services Ltd. [Merged],2021,1.18,0.0,0.01,2.18,0.1,1151.3,2.15,17.19,18.56,1.16,39.61,40.05,16.98,15.92,24.76,0,10.996132069424446,11.216686889835326
Saven Technologies Ltd.,2000,14.2,0.0,0.0,1.44,-0.42,40.0,1.44,6.07,6.07,12.43,8.99,8.99,9.11,8.55,76.59,0,4.829912458665998,4.909709375506295
Saven Technologies Ltd.,2001,5.96,0.0,0.0,0.83,0.29,42.2,0.83,-33.26,-37.24,5.96,-28.03,-28.03,-19.76,-25.52,-27.24,0,4.511957804265912,4.709530201312334
Saven Technologies Ltd.,2002,3.85,0.0,0.0,0.3,0.0,44.4,0.3,-61.15,-61.15,3.85,-18.57,-18.57,-17.37,-14.76,-71.57,0,3.254242968705492,4.679349584162343
Saven Technologies Ltd.,2003,3.4,0.03,0.05,0.8,-0.03,46.6,0.78,-31.37,-31.37,3.4,-24.79,-25.27,-5.75,-17.12,101.54,0,3.955082494888593,4.465908118654584
Saven Technologies Ltd.,2004,5.94,0.03,0.05,1.21,0.0,48.8,1.15,-6.96,-6.96,5.94,-8.07,-8.46,8.96,-5.24,17.62,0,4.117409835153096,4.351567427189173
Saven Technologies Ltd.,2005,19.14,0.0,0.0,1.39,0.05,51.0,1.36,6.74,6.74,19.14,9.2,9.42,10.55,6.39,20.36,0,4.302712827954156,4.368181227851829
Saven Technologies Ltd.,2006,23.11,0.0,0.0,0.8,0.03,44.75,0.8,-16.91,-16.91,23.11,-13.96,-13.96,-2.17,-10.17,-37.62,0,3.8308129500026027,4.363098624788363
Saven Technologies Ltd.,2007,37.54,0.0,0.0,0.58,-0.01,38.5,0.58,-8.36,-8.64,37.54,-4.91,-4.91,1.98,-3.66,-23.43,0,3.563882963939251,4.448516375942715
Saven Technologies Ltd.,2008,11.98,0.0,0.0,0.55,-0.01,32.25,0.55,7.97,8.23,11.98,4.64,4.64,10.93,3.48,3.68,0,3.6000482404073204,4.531523645819793
Saven Technologies Ltd.,2009,27.29,0.0,0.0,0.36,0.06,26.0,0.36,9.69,9.69,27.29,3.56,3.56,16.27,2.69,-31.15,0,3.2268439945173775,4.533674184283021
Saven Technologies Ltd.,2010,25.75,0.0,0.01,0.49,0.03,40.0,0.49,10.66,10.66,25.69,5.29,5.3,15.36,4.16,42.06,0,3.5779478934066544,4.548599834499697
Saven Technologies Ltd.,2011,17.09,0.0,0.0,0.8,0.12,176.0,0.8,23.34,29.3,17.09,19.38,19.44,24.14,16.27,94.41,0,4.242764567340374,4.729156165769083
Saven Technologies Ltd.,2012,22.69,0.01,0.01,0.78,0.24,312.0,0.78,23.78,33.01,22.69,21.2,21.34,24.91,18.8,26.29,0,4.476199804691132,4.9494688588587685
Saven Technologies Ltd.,2013,29.36,0.01,0.01,0.61,0.2,482.0,0.6,31.61,42.16,29.36,24.85,25.07,29.11,21.98,-1.14,0,4.464758032271346,5.2278949022514904
Saven Technologies Ltd.,2014,14.77,0.0,0.0,0.43,0.08,193.75,0.43,45.15,53.52,14.77,34.94,35.04,23.6,29.21,-9.32,0,4.366912996863833,5.534179690270021
Saven Technologies Ltd.,2015,5.31,0.0,0.0,0.44,-0.01,123.5,0.44,16.41,24.57,5.31,8.16,8.16,18.33,6.66,10.79,0,4.469350462845557,5.465525285531943
Saven Technologies Ltd.,2016,13.17,0.0,0.0,0.48,0.04,123.5,0.48,16.3,23.85,13.17,8.7,8.7,19.61,7.74,12.71,0,4.589040804058207,5.419649651715562
Saven Technologies Ltd.,2017,4.55,0.0,0.0,0.52,0.18,123.5,0.52,15.62,20.89,4.55,9.48,9.48,11.67,8.83,-14.63,0,4.430816798843313,4.879006851617819
Saven Technologies Ltd.,2018,7.72,0.0,0.0,0.89,0.09,123.5,0.89,21.47,29.8,7.72,20.61,20.61,26.96,18.66,26.31,0,4.664382045619937,4.935911747900319
Saven Technologies Ltd.,2019,7.75,0.0,0.0,0.88,0.15,123.5,0.88,21.49,28.76,7.75,19.85,19.85,27.04,18.45,8.39,0,4.74493212836325,5.011967739330034
Saven Technologies Ltd.,2020,11.61,0.0,0.0,0.55,0.09,123.5,0.55,23.61,30.53,11.61,14.63,14.63,25.54,13.7,-31.91,0,4.360547602996758,5.076423034634259
Saven Technologies Ltd.,2021,11.61,0.0,0.0,0.55,0.09,123.5,0.55,23.61,30.53,11.61,14.63,14.63,25.54,13.7,-31.91,0,4.360547602996758,5.076423034634259
Seshachal Technologies Ltd.,2000,,,,,-0.02,,,-150.0,,,,,50.0,,,0,-1.6094379124341003,3.7400477406883357
Seshachal Technologies Ltd.,2001,9.0,0.0,0.0,0.01,0.01,,0.01,-100.0,-100.0,9.0,-0.76,-0.76,33.33,-0.76,50.0,0,-1.2039728043259361,3.735285826928092
Seshachal Technologies Ltd.,2002,32.5,0.0,0.0,0.02,0.02,,0.02,33.33,33.33,32.5,0.72,0.72,66.67,0.72,200.0,0,-0.10536051565782628,3.817712325956905
Seshachal Technologies Ltd.,2003,56.0,0.0,0.0,0.04,-0.07,,0.04,-27.78,-27.78,56.0,-1.11,-1.11,11.76,-1.11,88.89,0,0.5306282510621704,3.8732821771117156
Seshachal Technologies Ltd.,2004,48.0,0.0,0.0,0.01,-0.03,,0.01,-100.0,-100.0,48.0,-1.04,-1.04,0.0,-1.04,-76.47,0,-0.916290731874155,3.92395157629342
Seshachal Technologies Ltd.,2005,40.0,0.0,0.0,0.01,-0.18,,0.01,-271.43,-271.43,40.0,-3.61,-3.61,-216.67,-3.61,50.0,0,-0.5108256237659907,4.023564380161053
Seshachal Technologies Ltd.,2006,21.5,0.0,0.0,0.03,0.33,,0.03,-20.0,-30.0,21.5,-0.68,-0.68,-5.26,-0.68,216.67,0,0.6418538861723947,4.139955073474153
Seshachal Technologies Ltd.,2007,1.0,0.01,0.01,0.1,-0.28,,0.1,10.67,12.0,1.0,1.12,1.13,12.16,1.11,289.47,0,2.0014800002101243,4.578826210648489
Seshachal Technologies Ltd.,2008,10.0,0.0,0.0,0.05,0.07,,0.05,-7.32,-7.32,10.0,-0.37,-0.37,33.33,-0.37,-47.3,0,1.3609765531356006,4.564348191467836
Seshachal Technologies Ltd.,2009,2.5,0.0,0.0,0.01,-0.01,,0.01,-233.33,-233.33,2.5,-2.6,-2.6,-33.33,-2.59,-76.92,0,-0.10536051565782628,4.543294782270004
Seshachal Technologies Ltd.,2010,11.0,0.0,0.0,0.01,0.0,,0.01,-150.0,-150.0,11.0,-1.87,-1.87,40.0,-1.86,11.11,0,0.0,4.523960130562548
Seshachal Technologies Ltd.,2011,2.39,0.0,0.0,0.08,0.0,,0.08,4.35,5.8,2.39,0.37,0.37,47.83,0.36,590.0,0,1.9315214116032138,4.551769409260976
Seshachal Technologies Ltd.,2012,1.71,0.0,0.0,0.02,0.0,,0.02,-100.0,-111.76,1.71,-2.06,-2.07,11.76,-1.99,-75.36,0,0.5306282510621704,4.548599834499697
Seshachal Technologies Ltd.,2013,0.0,0.07,0.11,0.0,-3.76,,0.0,-41.665,-47.545,0.0,-188.13,-189.62,35.045,-173.37,-39.13,0,0.371563556432483,2.3608540011180215
Seshachal Technologies Ltd.,2014,0.59,0.11,0.18,0.18,0.09,,0.16,16.67,16.67,0.59,2.68,3.08,58.33,1.82,-2.9000000000000057,0,0.1823215567939546,2.4336133554004498
Seshachal Technologies Ltd.,2015,0.67,0.04,0.06,0.24,-0.02,,0.21,0.0,0.0,0.67,0.0,0.0,31.25,0.0,33.33,0,0.47000362924573563,2.388762789235098
Seshachal Technologies Ltd.,2016,0.46,0.03,0.05,0.0,-0.02,,0.0,22.725,27.275,0.0,-2.9,-3.05,42.9,-1.85,6173.736666666666,0,0.30010459245033816,2.3702437414678603
Seshachal Technologies Ltd.,2017,12.5,0.05,0.06,0.17,7.41,,0.16,45.45,54.55,11.5,7.14,7.52,54.55,5.49,12314.143333333332,0,0.09531017980432493,2.0149030205422647
Seshachal Technologies Ltd.,2018,1.19,0.02,0.09,36.45,0.02,,34.02,-1.27,-1.27,1.11,-43.33,-46.43,-0.73,-15.76,18454.55,0,5.318610069815799,3.2386784521643803
Seshachal Technologies Ltd.,2019,1.14,0.0,0.0,8.3,0.01,,7.93,0.28,0.28,1.14,2.2,2.3,0.83,0.32,-82.31,0,3.586292865338835,3.5890591188317256
Seshachal Technologies Ltd.,2020,1.12,0.0,0.0,28.13,-0.01,,28.13,1.26,1.46,1.12,35.51,35.51,1.93,4.23,316.9,0,5.01396308418893,3.9815490680767565
Seshachal Technologies Ltd.,2021,1.12,0.0,0.0,28.13,-0.01,,28.13,1.26,1.46,1.12,35.51,35.51,1.93,4.23,316.9,0,5.01396308418893,3.9815490680767565
Softcell Technologies Pvt. Ltd.,2000,1.67,0.0,0.01,11.1,,14.0,9.31,,2.77,1.53,,,,,44.01,0,,
Softcell Technologies Pvt. Ltd.,2001,1.22,0.04,0.11,7.44,,9.825,7.07,,-4.52,1.09,,,,,-7.63,0,,
Softcell Technologies Pvt. Ltd.,2002,1.33,0.0,0.0,11.98,0.15,5.65,11.34,0.88,0.77,1.27,9.94,10.5,2.38,4.21,40.31,0,6.791333815964886,5.1896179496246955
Softcell Technologies Pvt. Ltd.,2003,1.38,0.06,0.13,10.05,-0.03,11.2,9.39,1.13,1.22,1.29,10.58,11.33,2.33,5.11,-6.29,0,6.726353299247566,5.240158452374504
Softcell Technologies Pvt. Ltd.,2004,1.22,0.0,0.0,11.05,0.15,29.44,10.44,1.84,2.35,1.18,19.21,20.34,3.24,6.78,30.25,0,6.990624756804432,5.9962033014551555
Softcell Technologies Pvt. Ltd.,2005,1.13,0.0,0.0,14.45,0.01,38.0,14.45,1.44,2.32,1.11,20.81,20.82,2.78,4.43,46.93,0,7.375443730270433,6.454726753942363
Softcell Technologies Pvt. Ltd.,2006,1.09,0.0,0.0,16.39,0.1,27.3,16.36,0.3566666666666667,3.01,0.66,4.77,4.760000000000002,1.4066666666666665,1.3833333333333329,25.78,0,7.565016180977674,6.7005260864819975
Softcell Technologies Pvt. Ltd.,2007,1.19,0.0,0.0,16.78,0.19000000000000003,48.86,16.75,-0.7266666666666666,4.86,1.04,-11.27,-11.299999999999997,0.033333333333333215,-1.663333333333334,37.15,0,7.724314069457282,6.897671272528117
Softcell Technologies Pvt. Ltd.,2008,0.98,0.0,0.0,15.08,0.28,60.565,15.05,-1.81,-1.79,0.97,-27.31,-27.36,-1.34,-4.71,-5.74,0,7.861688556280803,7.062277318418308
Softcell Technologies Pvt. Ltd.,2009,0.64,0.02,0.16,6.14,-0.29,72.27,5.63,7.0,9.66,0.64,40.58,44.24,11.99,6.29,-58.58,0,6.980354971396481,7.167732080341696
Softcell Technologies Pvt. Ltd.,2010,1.07,0.03,0.15,6.72,-0.10499999999999998,18.75,5.83,0.665,4.43,0.61,12.14,13.315000000000001,5.585,-0.21999999999999975,30.44,0,7.0926568380394786,7.0587581525186645
Softcell Technologies Pvt. Ltd.,2011,0.93,0.04,0.06,3.05,0.08,9.975,2.83,-5.67,25.66,0.88,-16.3,-17.61,-0.82,-6.73,-5.11,0,7.19361068409251,6.9364399128420455
Softcell Technologies Pvt. Ltd.,2012,1.17,0.03,0.05,2.22,0.03,1.2,2.11,-0.1,0.05,1.13,-0.22,-0.23,1.52,-0.15,7.54,0,7.266338401190171,6.911846896885391
Softcell Technologies Pvt. Ltd.,2013,1.22,0.05,0.07,2.18,-0.07,2.466666666666667,2.06,-6.48,0.02,1.19,-13.54,-14.33,0.78,-9.16,-9.87,0,7.162397497355718,6.740164686788177
Softcell Technologies Pvt. Ltd.,2014,1.13,0.02,0.03,2.88,0.05,3.7333333333333334,2.75,-1.48,-1.74,1.1,-4.1,-4.3,0.72,-2.68,21.03,0,7.353274086547475,6.795146334599483
Softcell Technologies Pvt. Ltd.,2015,1.16,0.04,0.07,3.51,-0.05,5.0,3.35,0.47,1.05,1.02,1.58,1.65,2.22,0.95,21.0,0,7.543855804162806,6.878944197128018
Softcell Technologies Pvt. Ltd.,2016,1.73,0.01,0.02,5.58,0.03,14.06,5.36,0.92,1.34,1.63,4.92,5.12,2.03,2.81,65.05,0,8.044914977262486,6.970354420738657
Softcell Technologies Pvt. Ltd.,2017,1.05,0.13,0.3,4.85,0.19,0.57,4.16,-0.84,1.72,1.0,-3.5,-4.07,2.31,-1.89,-8.43,0,7.956827122090111,7.291996750638675
Softcell Technologies Pvt. Ltd.,2018,0.83,0.0,0.0,5.19,0.09,2.1,4.04,0.27,1.83,0.83,1.08,1.39,3.53,0.58,-41.29,0,7.4243442626372325,4.4343818650078095
Softcell Technologies Pvt. Ltd.,2019,0.97,0.0,0.0,0.74,0.37,1.815,0.74,1.25,1.88,0.97,0.97,0.97,-0.98,0.45,-98.17,0,3.4242626545931514,4.535820107853298
Softcell Technologies Pvt. Ltd.,2020,6.22,0.0,0.0,0.8,-0.7,1.53,0.8,-0.27,-17.07,6.22,-0.26,-0.26,-12.79,-0.15,-0.65,0,3.417726683613366,3.673765816303888
Softcell Technologies Pvt. Ltd.,2021,6.22,0.0,0.0,0.8,-0.7,1.53,0.8,-0.27,-17.07,6.22,-0.26,-0.26,-12.79,-0.15,-0.65,0,3.417726683613366,3.673765816303888
Steria (India) Ltd.,2000,4.3,0.1,0.13,2.14,0.1,12.89,1.83,12.14,12.29,4.25,22.45,26.15,17.39,19.31,25.21,0,7.206006302783152,6.8277375709961055
Steria (India) Ltd.,2001,2.4,0.13,0.18,1.95,0.14,22.79,1.68,21.41,21.36,2.4,36.98,42.94,26.37,31.17,32.28,0,7.485772152288451,7.373688133857391
Steria (India) Ltd.,2002,1.33,0.1,0.13,1.27,0.26,36.15,1.1,24.6,25.32,1.33,27.94,32.2,28.41,23.77,-3.15,0,7.453735668822503,7.642428206370581
Steria (India) Ltd.,2003,2.68,0.02,0.02,1.14,0.2,43.56,1.06,19.94,20.89,2.68,21.18,22.7,29.48,18.29,19.59,0,7.632594906274572,7.792266344320266
Steria (India) Ltd.,2004,4.42,0.0,0.0,1.23,0.15,125.0,1.21,24.75,24.99,4.42,30.46,30.78,31.46,25.89,42.21,0,7.984735267523133,8.092361760817107
Steria (India) Ltd.,2005,4.81,0.0,0.0,1.35,0.23,2307.4,1.35,23.85,25.36,4.81,32.75,32.75,31.67,27.61,52.08,0,8.403957301803581,8.423629485637923
Steria (India) Ltd.,2006,7.46,0.01,0.01,1.21,0.2,2060.5,1.21,22.6,22.3,7.46,27.94,28.04,27.91,24.1,21.12,0,8.59556065049025,8.669776929946236
Steria (India) Ltd.,2007,7.59,0.01,0.01,0.99,0.06,5406.0,0.98,15.12,18.85,7.59,15.42,15.54,22.27,13.52,0.95,0,8.605057537857306,8.829255632593396
Steria (India) Ltd.,2008,4.3,0.0,0.0,0.76,0.15,4460.335,0.75,14.39,23.01,4.29,11.28,11.33,24.53,9.33,-12.63,0,8.469996756585262,9.044533690799872
Steria (India) Ltd.,2009,3.92,0.0,0.0,0.73,0.19,3514.67,0.73,13.17,17.76,3.92,11.04,11.05,10.59,8.49,8.57,0,8.552193472600859,9.199764645603999
Steria (India) Ltd.,2010,7.11,0.0,0.0,0.65,0.04,1005.33,0.65,11.43,16.44,7.11,8.44,8.45,8.02,6.71,-2.12,0,8.530780464924753,9.18406826263732
Steria (India) Ltd.,2011,5.58,0.0,0.0,0.71,-0.01,265.68,0.71,12.55,18.12,5.35,9.6,9.6,16.87,7.83,21.01,0,8.72148822013159,9.338126542372112
Steria (India) Ltd.,2012,5.6,0.0,0.0,0.66,0.13,123.89,0.66,12.92,18.59,5.42,9.25,9.25,16.22,7.41,2.72,0,8.748304912379623,9.423724454221956
Steria (India) Ltd.,2013,6.93,0.0,0.0,0.58,-0.01,178.3,0.58,14.02,19.71,6.72,8.99,8.99,20.63,7.24,-4.38,0,8.703506769479729,9.509800312238498
Steria (India) Ltd.,2014,9.08,0.0,0.0,0.44,-0.08,175.95,0.44,16.05,23.16,8.79,8.69,8.69,9.77,7.28,-17.08,0,8.516192691082654,9.512198980795578
Steria (India) Ltd.,2015,11.49,0.0,0.0,0.35,0.0,201.98,0.35,14.88,21.93,11.17,6.32,6.32,10.67,5.57,-13.93,0,8.366230757062036,9.546605444283209
Steria (India) Ltd.,2016,9.9,0.0,0.0,0.49,0.05,1851.62,0.49,13.12,21.53,9.68,7.36,7.36,12.77,6.5,45.57,0,8.74171179690998,9.605943678645668
Steria (India) Ltd.,2017,10.47,0.0,0.0,0.55,-0.01,6474.5,0.55,10.64,17.93,10.45,6.76,6.76,6.43,5.89,8.7,0,8.825089571118259,9.5040765811032
Steria (India) Ltd.,2018,13.05,0.0,0.0,0.67,-0.04,924.64,0.67,9.74,15.73,13.0,7.17,7.17,9.41,6.35,10.51,0,8.92506872544561,9.378241789858833
Steria (India) Ltd.,2019,10.44,0.0,0.0,0.72,0.0,14028.0,0.72,11.1,17.16,10.42,9.19,9.19,6.25,8.29,-5.69,0,8.866440619526173,9.230407670126295
Steria (India) Ltd.,2020,6.72,0.05,0.06,0.75,0.13,43.33,0.73,10.51,13.28,6.69,8.23,8.48,13.59,7.37,0.46,0,8.871014066372064,9.363756496369358
Steria (India) Ltd.,2021,6.72,0.05,0.06,0.75,0.13,43.33,0.73,10.51,13.28,6.69,8.23,8.48,13.59,7.37,0.46,0,8.871014066372064,9.363756496369358
Syntel Pvt. Ltd.,2000,12.43,0.0,0.0,0.87,,,0.87,,55.97,12.42,,,,,149.59,0,,
Syntel Pvt. Ltd.,2001,16.92,0.0,0.0,0.71,,,0.71,,51.62,16.92,,,,,26.38,0,,
Syntel Pvt. Ltd.,2002,20.07,0.0,0.0,0.82,0.15,,0.82,36.11,43.75,20.07,32.56,32.56,43.5,30.27,63.14,0,7.7928029911163605,8.225556643656727
Syntel Pvt. Ltd.,2003,22.95,0.0,0.0,0.85,0.21,,0.85,36.98,41.88,22.95,32.57,32.57,48.38,30.46,45.1,0,8.16502237436579,8.534227283972017
Syntel Pvt. Ltd.,2004,14.17,0.0,0.0,0.8,0.15,,0.8,27.71,30.42,14.17,22.87,22.87,32.14,21.16,23.54,0,8.37641273052715,8.801996123117174
Syntel Pvt. Ltd.,2005,7.08,0.0,0.0,1.01,0.28,,1.01,28.61,31.0,7.08,30.73,30.73,29.62,27.34,22.1,0,8.576103403294956,8.551227400959142
Syntel Pvt. Ltd.,2006,6.87,0.0,0.0,1.17,0.18,,1.17,23.56,28.47,6.87,28.33,28.33,31.34,24.34,14.74,0,8.713614872588973,8.842604480678025
Syntel Pvt. Ltd.,2007,4.98,0.0,0.0,1.05,0.15,,1.05,15.97,18.69,4.98,17.19,17.19,24.91,14.48,11.84,0,8.825530468793051,9.047244805667118
Syntel Pvt. Ltd.,2008,3.21,0.0,0.0,1.1,0.16,,1.1,22.95,27.88,3.21,27.17,27.17,26.37,21.18,32.53,0,9.10719961305667,9.433107852584667
Syntel Pvt. Ltd.,2009,3.45,0.0,0.0,1.04,0.16,,1.04,23.93,29.59,3.45,25.48,25.48,35.19,19.16,22.72,0,9.311894653105046,9.674652837226628
Syntel Pvt. Ltd.,2010,5.82,0.0,0.0,1.11,0.06,,1.11,19.57,23.5,5.8,22.43,22.48,23.14,18.04,36.25,0,9.621197583198724,9.79653688436678
Syntel Pvt. Ltd.,2011,5.67,0.0,0.0,1.13,0.11,,1.12,20.82,26.89,5.59,24.72,24.8,24.86,20.67,29.39,0,9.878872061971776,10.071046509729706
Syntel Pvt. Ltd.,2012,8.52,0.0,0.0,1.08,0.06,,1.08,26.81,33.42,8.49,30.35,30.4,31.41,25.98,28.08,0,10.12632705763297,10.322822692163156
Syntel Pvt. Ltd.,2013,6.11,0.0,0.0,1.04,0.33,,1.04,28.21,35.02,6.11,30.7,30.73,32.94,26.34,30.96,0,10.396084030434498,10.66877863486856
Syntel Pvt. Ltd.,2014,8.69,0.0,0.0,0.83,0.24,,0.83,29.11,31.1,8.68,26.634999999999998,26.65,31.95,23.134999999999998,3.45,0,10.448231877830741,10.90715892654648
Syntel Pvt. Ltd.,2015,8.76,0.0,0.0,0.7,0.15,,0.7,30.01,35.25,8.72,22.57,22.57,30.96,19.93,7.02,0,10.49779458026148,11.099510843038866
Syntel Pvt. Ltd.,2016,0.34,0.0,0.0,0.76,1.18,,0.76,26.81,35.92,0.3,21.6,21.6,33.96,16.96,-33.18,0,10.094665607843288,9.580827487184674
Syntel Pvt. Ltd.,2017,0.98,0.0,0.0,2.53,0.04,,2.53,28.1,34.81,0.83,73.45,73.45,34.13,36.72,-20.5,0,9.86526633971593,9.674703121331833
Syntel Pvt. Ltd.,2018,2.07,0.0,0.0,1.74,0.01,,1.74,22.86,27.51,2.05,40.9,40.9,26.52,27.85,32.42,0,10.146041497370161,10.205072530156901
Syntel Pvt. Ltd.,2019,1.95,0.06,0.13,1.33,0.12,20.66,1.24,14.09,22.01,1.95,18.09,19.39,26.42,10.29,8.12,0,10.224120725127595,10.844861064777746
Syntel Pvt. Ltd.,2020,2.47,0.07,0.15,1.0,0.11,25.63,0.88,24.86,27.01,2.47,22.7,25.91,32.98,12.24,-4.61,0,10.176943917723927,11.002266493983559
Syntel Pvt. Ltd.,2021,2.47,0.07,0.15,1.0,0.11,25.63,0.88,24.86,27.01,2.47,22.7,25.91,32.98,12.24,-4.61,0,10.176943917723927,11.002266493983559
Tanla Platforms Ltd.,2002,,,,,0.19,,,4.46,,,,,17.83,,,0,2.7536607123542622,3.899950424193877
Tanla Platforms Ltd.,2003,3.9,0.0,0.0,1.14,0.39,,1.14,49.91,52.34,3.9,58.13,58.13,55.32,49.41,264.97,0,4.048300623720694,4.289088639014612
Tanla Platforms Ltd.,2004,5.08,0.0,0.0,0.74,0.15,,0.74,63.98,64.38,5.08,49.51,49.51,68.96,42.46,24.26,0,4.26549281841793,5.030437921392435
Tanla Platforms Ltd.,2005,6.82,0.0,0.0,1.66,0.42,,1.66,61.33,66.22,6.82,102.96,102.96,68.09,90.3,481.46,0,6.025865973825314,6.0428703351678825
Tanla Platforms Ltd.,2006,34.15,0.0,0.0,0.31,-0.04,,0.31,63.25,64.98,34.15,22.09,22.09,68.38,21.32,98.09,0,6.709426284042365,8.55267615866157
Tanla Platforms Ltd.,2007,7.55,0.0,0.0,0.25,0.06,,0.25,57.38,66.44,7.55,16.61,16.61,66.41,15.77,57.33,0,7.162630028457801,8.731852856122137
Tanla Platforms Ltd.,2008,4.26,0.0,0.0,0.29,0.12,,0.29,40.51,50.28,4.26,12.09,12.09,67.1,11.22,33.6,0,7.452286435213299,8.84773358366992
Tanla Platforms Ltd.,2009,4.07,0.0,0.0,0.08,0.05,,0.08,6.04,-0.94,3.95,0.54,0.54,47.87,0.51,-70.38,0,6.235586504807383,8.842532255045118
Tanla Platforms Ltd.,2010,6.66,0.0,0.0,0.04,0.04,,0.04,-49.03,-86.26,4.09,-2.23,-2.23,39.08,-2.14,-43.77,0,5.6598305871270185,8.785019435156668
